distance_km,time_of_day,day_of_week,past_donations_count,days_since_last_donation,blood_group_match,request_urgency,avg_response_time,responded
2.3463404498842957,0,5,4,44,0,0,10.07,1
15.050607154587606,0,2,2,59,1,0,10.62,0
6.583728467727247,18,2,5,58,1,0,11.31,0
4.564712768879766,4,2,5,189,1,0,8.04,0
0.8481243523117314,12,6,4,658,1,1,9.22,1
0.847981459573026,18,5,4,699,1,0,9.24,1
0.29919384304340335,11,0,1,649,0,1,7.21,0
10.056154322399697,15,5,2,656,1,1,13.53,0
4.595410768136323,18,0,3,301,1,2,13.48,0
6.156250308522951,2,2,4,449,1,0,12.63,0
0.10399653999569311,11,3,2,518,0,0,16.17,0
17.51778737579156,4,3,2,205,1,2,15.41,0
8.932147716773375,1,0,0,260,1,1,13.33,0
1.1934381262447349,21,2,2,347,1,2,14.62,1
1.0033949437483167,6,5,2,496,0,2,12.2,0
1.0130571141612852,12,3,2,469,1,1,11.55,0
1.8137686473023855,14,0,4,85,1,0,9.29,0
3.7196391543042724,21,5,2,360,1,1,11.86,0
2.8276853339016834,2,2,4,302,1,1,11.46,1
1.7211149627697075,20,1,3,50,1,1,14.76,0
4.731854369498993,19,2,1,194,0,1,14.66,0
0.7511726436366933,4,6,3,521,1,1,10.06,1
1.7275775600120113,23,2,6,447,0,1,7.11,0
2.281386091104235,7,5,4,609,1,0,11.94,0
3.044673439298875,21,5,2,296,0,0,14.2,1
7.689680055154559,0,4,6,367,1,2,11.65,0
1.1136793106434515,7,4,3,637,1,2,11.06,0
3.6101457751656385,23,5,2,217,1,1,13.34,0
4.487523606548803,17,5,5,504,1,0,11.71,0
0.23781924878204272,19,1,4,237,1,0,8.1,0
4.676665103248051,15,1,2,103,1,0,12.96,0
0.9348062598870821,17,2,4,703,0,0,12.61,0
0.33631965439652123,19,6,2,702,0,0,13.42,0
14.868438967534654,11,3,1,423,0,0,13.04,0
16.853151712305863,12,6,3,519,0,0,16.82,0
8.261657864064384,12,1,2,601,1,1,16.26,0
1.8164392998437915,9,2,3,55,0,2,11.62,0
0.5138865750125312,6,6,5,566,1,0,9.62,1
5.763753815493309,13,0,3,544,0,0,13.0,0
2.9004542129269915,23,4,2,286,1,2,12.28,0
0.6507611697722432,15,6,0,309,0,2,16.54,0
3.4177361406707507,14,3,2,585,1,0,9.87,0
0.17496860721739543,11,2,2,62,1,0,11.92,1
12.002114436965119,8,6,5,323,1,0,11.37,0
1.4972888842034304,7,5,1,653,0,0,15.21,1
5.431278992824902,17,0,1,337,1,0,10.24,0
1.8677329082881182,22,4,2,320,1,0,10.49,1
3.6705544795461433,17,0,2,333,0,1,9.05,1
3.9561189899089877,12,2,3,72,0,0,9.85,0
1.0219429975395287,17,1,1,585,1,1,10.65,1
17.46403566368113,14,4,2,628,0,0,13.48,0
7.461226885690704,3,0,1,509,1,1,13.66,0
14.02547209645791,16,1,0,112,0,1,13.69,1
11.260759987670983,4,3,4,233,1,1,10.85,0
4.555272061916375,21,2,2,671,1,0,14.79,0
12.747176896347025,15,2,3,167,1,0,9.52,0
0.4632772947655781,8,4,4,112,0,0,6.94,1
1.0906734731563372,9,0,4,716,1,1,12.22,1
0.23140982843415978,23,3,6,677,1,0,8.42,1
1.9676604340154342,17,5,3,648,1,1,9.56,0
2.460651458971093,16,4,4,180,1,0,11.91,1
1.5828022160441284,17,5,1,650,1,0,9.26,0
8.82278932620467,6,4,4,348,1,1,9.08,0
2.2061349976493507,3,0,5,276,1,0,5.22,0
1.649014200671246,4,3,0,66,0,0,14.52,0
3.91203541603873,22,0,1,297,0,1,16.35,0
0.7594907391031442,15,2,5,615,1,1,8.85,1
8.102417978873657,2,5,5,144,0,0,8.42,0
0.38737934405654506,17,1,5,110,1,0,13.57,1
21.6707316979366,22,6,3,556,1,1,12.85,0
7.397418881207557,20,2,3,365,0,2,16.36,0
1.1076972025294298,13,2,5,113,0,0,10.32,0
0.027687101879677375,14,5,4,183,1,1,11.25,0
8.44948388743063,16,4,2,282,1,2,15.29,0
6.1354795369352235,0,2,1,531,0,0,12.9,0
6.528314543939995,20,6,3,477,0,0,12.09,0
7.376072630217568,16,3,3,302,1,1,6.76,0
0.38464632756898176,22,2,5,536,0,0,13.48,1
2.2194633620811626,10,3,5,161,1,0,10.78,1
0.6157505230222483,16,0,4,354,1,0,10.59,1
9.942647858291114,13,4,2,380,0,0,14.21,0
